Gamma,Alpha,Alphas,Training_accuracy,Test_accuracy,Exp. training acc. estimate,Accuracy estimate (Exp. stat. acc. estimate)
1e-05,1.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.99871892 0.99026847 0.88871811 0.75129687 0.30852073 0.175788
 0.03947877 0.02004427 0.00203263]","[-0.00239972 -0.00180675 -0.00065446 -0.00024014 -0.0003352  -0.00052857
 -0.00076868 -0.00080573 -0.00084062]",0.9987189198404094,-0.00024014177305820006
0.001,1.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.99841116 0.99020839 0.88875266 0.75138303 0.30862956 0.17586305
 0.0394987  0.02005462 0.0020337 ]","[-7.74897935e-04 -2.62265106e-04  6.08536558e-04  7.74387237e-04
  4.78986540e-05 -3.14026750e-04 -7.21271009e-04 -7.81708563e-04
 -8.38187391e-04]",0.9984111612058533,0.0007743872372718119
0.01,0.5,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.99835337 0.99018097 0.88879349 0.75154201 0.3088889  0.17604952
 0.03955026 0.02008153 0.00203649]","[ 8.96656032e-04  1.40273515e-03  2.12660004e-03  2.07744617e-03
  6.08951223e-04  1.06275876e-05 -6.47123246e-04 -7.43968526e-04
 -8.34351411e-04]",0.9983533744862363,0.0021266000411707562
0.1,0.1,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.9983455  0.99014644 0.88943398 0.75278401 0.31034568 0.17705455
 0.03981838 0.02022083 0.00205092]","[ 0.00939712  0.00940714  0.00856666  0.00723547  0.00259645  0.00113628
 -0.00039494 -0.00061594 -0.00082137]",0.9983455032222295,0.009407135947407585
1.0,0.1,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.99830588 0.9850445  0.88317482 0.7685164  0.39139546 0.25608817
 0.07959747 0.0447967  0.00520491]","[ 0.07858492  0.07908175  0.07183499  0.062898    0.03181184  0.02011044
  0.00515198  0.00243393 -0.00047726]",0.9983058787262251,0.07908175308944398
2.0,0.1,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[0.47786326 0.94798145 0.8143894  0.71655986 0.44132516 0.3324947
 0.14711068 0.09611627 0.01576494]","[0.06627722 0.16857727 0.16680714 0.15676617 0.11121755 0.08655625
 0.0370347  0.02294701 0.00266145]",0.9479814516499925,0.16857726957164154
4.0,1.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-5.77029054e+02  8.41537773e-01  6.91724352e-01  6.17465528e-01
  4.48619588e-01  3.81343714e-01  2.29838697e-01  1.66894444e-01
  3.51545184e-02]","[-1.92712500e+02  1.44107637e-01  2.19680554e-01  2.32827885e-01
  2.15500984e-01  1.92220286e-01  1.17205640e-01  8.29260257e-02
  1.51654417e-02]",0.841537773036922,0.232827884519257
5.0,5.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-5.47697939e+03  7.95044003e-01  6.49643137e-01  5.83871051e-01
  4.42482846e-01  3.87036133e-01  2.52392701e-01  1.88763873e-01
  4.14301358e-02]","[-2.28156731e+03  6.26497225e-02  2.04399133e-01  2.35490499e-01
  2.38412385e-01  2.19010949e-01  1.45101206e-01  1.06446605e-01
  2.09397075e-02]",0.7950440031490136,0.23841238490595856
10.0,5.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-2.77048563e+05  6.46682846e-01  5.36360915e-01  4.94678712e-01
  4.15099715e-01  3.85065289e-01  2.95448388e-01  2.35819168e-01
  5.45795377e-02]","[-1.88441600e+05 -1.78826109e-01  1.82673115e-01  2.45430244e-01
  2.78078895e-01  2.66544076e-01  2.05429722e-01  1.63781794e-01
  3.69395057e-02]",0.6466828461368732,0.2780788945117374
15.0,5.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-3.64231929e+06  5.73672104e-01  4.87176407e-01  4.56736279e-01
  4.00214682e-01  3.78090401e-01  3.02644746e-01  2.44788239e-01
  5.58787811e-02]","[-3.09227657e+06 -9.18245982e-02  2.20313257e-01  2.65835723e-01
  2.85697015e-01  2.73682821e-01  2.18166544e-01  1.78404364e-01
  4.13272194e-02]",0.5736721042640504,0.2856970150063848
20.0,5.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-5.65507884e+06  5.30967792e-01  4.60114706e-01  4.36275386e-01
  3.90999810e-01  3.72289785e-01  3.01399126e-01  2.43270414e-01
  5.38588840e-02]","[-5.63913499e+06  1.76746348e-02  2.46092203e-01  2.77210836e-01
  2.84819216e-01  2.71448580e-01  2.19286697e-01  1.80768611e-01
  4.15963225e-02]",0.5309677918680108,0.28481921621443557
50.0,1.0,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-4.08078645e+06  4.42072809e-01  4.08075647e-01  3.94944624e-01
  3.65281144e-01  3.50542638e-01  2.69689837e-01  2.04518732e-01
  3.74210791e-02]","[-5.37301908e+06  2.23863325e-01  2.74518611e-01  2.75468856e-01
  2.54531724e-01  2.42559909e-01  1.99317290e-01  1.59091673e-01
  3.13083278e-02]",0.4420728088479091,0.27546885603140864
100.0,0.5,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-1.49820203e+06  4.10365461e-01  3.84013408e-01  3.72614200e-01
  3.47628553e-01  3.30054047e-01  2.22623984e-01  1.54564481e-01
  2.35640468e-02]","[-1.83112088e+06  2.48862398e-01  2.51253186e-01  2.45893157e-01
  2.30194626e-01  2.23291391e-01  1.71071500e-01  1.25757198e-01
  2.01910841e-02]",0.4103654609898323,0.25125318597095403
500.0,0.1,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-1.66650082e+05  3.60595216e-01  3.45973789e-01  3.39712940e-01
  2.88906867e-01  2.35587093e-01  9.13486958e-02  5.15489546e-02
  5.83355646e-03]","[-2.10111453e+05  2.19017169e-01  2.17427810e-01  2.17493273e-01
  2.03650462e-01  1.77890330e-01  7.89273137e-02  4.55800290e-02
  4.57927150e-03]",0.3605952161382098,0.21901716859462886
4000.0,0.1,[1.e-03 1.e-01 5.e-01 1.e+00 5.e+00 1.e+01 5.e+01 1.e+02 1.e+03],"[-7.94609774e+03  3.38283731e-01  3.01850115e-01  2.56829154e-01
  1.10922137e-01  6.44819252e-02  1.48098509e-02  7.54452555e-03
  7.67601237e-04]","[-9.56395364e+03  2.15640158e-01  2.08275430e-01  1.88734755e-01
  9.47831836e-02  5.69729293e-02  1.29440469e-02  6.21587701e-03
 -1.23032995e-04]",0.3382837309195503,0.2156401576745716
